,Name,MC_USD_Billion,MC_GBP_Billion,MC_INR_Billion,MC_EUR_Billion
0,Industrial and Commercial Bank of China Limited,5742.86,4594.29,476370.24,5340.86
1,China Construction Bank,5016.81,4013.45,416144.39,4665.63
2,Agricultural Bank of China,4919.03,3935.22,408033.54,4574.7
3,Bank of China,4192.12,3353.7,347736.35,3898.67
4,JPMorgan Chase,3868.24,3094.59,320870.51,3597.46
5,Bank of America,3051.38,2441.1,253111.97,2837.78
6,Mitsubishi UFJ Financial Group,2967.91,2374.33,246188.13,2760.16
7,HSBC,2864.59,2291.67,237617.74,2664.07
8,BNP Paribas,2849.61,2279.69,236375.15,2650.14
9,Crédit Agricole,2542.61,2034.09,210909.5,2364.63
10,Citigroup Inc.,2416.68,1933.34,200463.61,2247.51
11,Postal Savings Bank of China,2039.56,1631.65,169181.5,1896.79
12,SMBC Group,2006.75,1605.4,166459.91,1866.28
13,Mizuho Financial Group,1909.35,1527.48,158380.58,1775.7
14,Bank of Communications,1883.72,1506.98,156254.57,1751.86
15,Wells Fargo,1881.02,1504.82,156030.61,1749.35
16,Banco Santander,1853.86,1483.09,153777.69,1724.09
17,Barclays,1823.84,1459.07,151287.53,1696.17
18,Japan Post Bank,1719.92,1375.94,142667.36,1599.53
19,UBS,1679.36,1343.49,139302.91,1561.8
20,Groupe BPCE,1636.35,1309.08,135735.23,1521.81
21,Société Générale,1588.99,1271.19,131806.72,1477.76
22,Royal Bank of Canada,1544.17,1235.34,128088.9,1436.08
23,Toronto-Dominion Bank,1524.83,1219.86,126484.65,1418.09
24,China Merchants Bank,1470.0,1176.0,121936.5,1367.1
25,Goldman Sachs,1441.8,1153.44,119597.31,1340.87
26,Deutsche Bank,1428.65,1142.92,118506.52,1328.64
27,Industrial Bank (China),1343.54,1074.83,111446.64,1249.49
28,China CITIC Bank,1239.28,991.42,102798.28,1152.53
29,Shanghai Pudong Development Bank,1184.28,947.42,98236.03,1101.38
30,Morgan Stanley,1180.23,944.18,97900.08,1097.61
31,Crédit Mutuel,1180.22,944.18,97899.25,1097.6
32,Lloyds Banking Group,1057.69,846.15,87735.39,983.65
33,China Minsheng Bank,1051.97,841.58,87260.91,978.33
34,Intesa Sanpaolo,1042.73,834.18,86494.45,969.74
35,ING Group,1034.32,827.46,85796.84,961.92
36,Scotiabank,1029.8,823.84,85421.91,957.71
37,UniCredit,916.72,733.38,76041.92,852.55
38,China Everbright Bank,913.49,730.79,75774.0,849.55
39,NatWest Group,867.59,694.07,71966.59,806.86
40,Bank of Montreal,859.05,687.24,71258.2,798.92
41,Commonwealth Bank,837.21,669.77,69446.57,778.61
